Drug,Target
DB00092,715
DB00092,712
DB00092,713
DB00092,714
DB00092,2214
DB00092,2209
DB00092,2212
DB00092,2213
DB00092,9103
DB00092,914
DB00094,2492
DB00095,2215
DB00095,715
DB00095,712
DB00095,713
DB00095,714
DB00095,2214
DB00095,2209
DB00095,2212
DB00095,2213
DB00095,9103
DB00095,3683
DB00097,3973
DB00097,2492
DB00098,2213
DB00098,3690
DB00098,3683
DB00098,909
DB00098,3140
DB00098,942
DB00098,920
DB00098,3688
DB00098,3685
DB00099,1441
DB00099,1991
DB00100,2147
DB00100,2159
DB00100,4035
DB00100,2677
DB00100,2155
DB00100,2157
DB00100,2160
DB00102,5159
DB00102,5156
DB00102,2
DB00103,2717
DB00104,4353
DB00104,1576
DB00104,6751
DB00104,6755
DB00104,6752
DB00105,3455
DB00105,3454
DB00105,1544
DB00106,2798
DB00107,5021
DB00107,5020
DB00107,5550
DB00108,2215
DB00108,715
DB00108,712
DB00108,713
DB00108,714
DB00108,2214
DB00108,2209
DB00108,2212
DB00108,2213
DB00108,9103
DB00108,3676
DB00108,3383
DB00109,1571
DB00109,1557
DB00110,2215
DB00110,715
DB00110,712
DB00110,713
DB00110,714
DB00110,2214
DB00110,2209
DB00110,2212
DB00110,2213
DB00110,9103
DB00112,2215
DB00112,715
DB00112,712
DB00112,713
DB00112,714
DB00112,2214
DB00112,2209
DB00112,2212
DB00112,2213
DB00112,9103
DB00112,7422
DB00114,64902
DB00114,2571
DB00114,875
DB00114,8942
DB00114,6470
DB00114,9054
DB00114,2805
DB00114,4942
DB00114,4953
DB00114,51166
DB00114,18
DB00114,55163
DB00114,8879
DB00114,6898
DB00114,79896
DB00114,5836
DB00114,9517
DB00114,51380
DB00114,3067
DB00114,113451
DB00114,10993
DB00114,23464
DB00114,2731
DB00114,2875
DB00114,29968
DB00114,211
DB00114,189
DB00114,57026
DB00114,10558
DB00114,1491
DB00114,586
DB00114,587
DB00114,10841
DB00114,2806
DB00114,5834
DB00114,5837
DB00114,1644
DB00114,2572
DB00114,23042
DB00114,51540
DB00114,285313
DB00114,85007
DB00114,6472
DB00114,212
DB00114,84706
DB00114,55034
DB00114,113675
DB00114,63826
DB00114,51091
DB00114,55304
DB00115,4036
DB00115,4548
DB00115,4552
DB00115,166785
DB00115,25974
DB00115,4524
DB00115,326625
DB00115,81693
DB00115,6947
DB00115,6948
DB00115,8029
DB00115,4363
DB00118,1571
DB00118,875
DB00118,27232
DB00118,262
DB00118,4144
DB00118,4143
DB00118,1312
DB00118,23070
DB00118,6723
DB00119,64902
DB00119,18
DB00119,9123
DB00119,6567
DB00119,9121
DB00119,5313
DB00119,9120
DB00119,9194
DB00119,5162
DB00119,5315
DB00119,9122
DB00119,23539
DB00119,6566
DB00119,5091
DB00119,117247
DB00119,6578
DB00120,6898
DB00120,117247
DB00120,23428
DB00120,2193
DB00120,5053
DB00120,10667
DB00120,10056
DB00120,7054
DB00121,5091
DB00121,5096
DB00121,3141
DB00121,8884
DB00121,64087
DB00121,32
DB00121,56922
DB00121,5095
DB00121,31
DB00121,1545
DB00122,590
DB00122,9468
DB00122,43
DB00122,5130
DB00122,5338
DB00122,5337
DB00122,162466
DB00122,1139
DB00122,10390
DB00122,1120
DB00122,1103
DB00122,1119
DB00122,55349
DB00122,6582
DB00122,6580
DB00122,6581
DB00122,6584
DB00122,6583
DB00122,23446
DB00122,80736
DB00122,57153
DB00122,126969
DB00122,60482
DB00123,117247
DB00123,6583
DB00123,6541
DB00123,6545
DB00123,84889
DB00123,6542
DB00126,5264
DB00126,3938
DB00126,5352
DB00126,8985
DB00126,8424
DB00126,1621
DB00126,5066
DB00126,5033
DB00126,64175
DB00126,79676
DB00126,121642
DB00126,55214
DB00126,10536
DB00126,55239
DB00126,112398
DB00126,221120
DB00126,8284
DB00126,54583
DB00126,9963
DB00126,5351
DB00126,112399
DB00126,55217
DB00126,54681
DB00128,2805
DB00128,2806
DB00128,117247
DB00128,6035
DB00128,4069
DB00128,10165
DB00128,443
DB00128,440
DB00128,445
DB00128,95
DB00128,8604
DB00128,444
DB00128,10606
DB00128,790
DB00128,6505
DB00128,55157
DB00128,80150
DB00128,91703
DB00129,4942
DB00129,6541
DB00129,6545
DB00129,84889
DB00129,6542
DB00129,5009
DB00129,383
DB00129,4946
DB00129,83884
DB00129,384
DB00129,10166
DB00129,4947
DB00129,2628
DB00129,51686
DB00130,2752
DB00130,117247
DB00130,23428
DB00130,440
DB00130,790
DB00130,1503
DB00130,5471
DB00130,2162
DB00130,2744
DB00130,27165
DB00130,7052
DB00130,9333
DB00130,343641
DB00130,7051
DB00130,7047
DB00130,7053
DB00130,116179
DB00130,8833
DB00130,5198
DB00130,5188
DB00130,9945
DB00130,55191
DB00130,10991
DB00130,6510
DB00131,5836
DB00131,1385
DB00131,5292
DB00131,5142
DB00131,5564
DB00131,3094
DB00131,5144
DB00131,84532
DB00131,55902
DB00131,5562
DB00131,5565
DB00131,107
DB00131,2180
DB00131,2203
DB00131,132
DB00131,270
DB00131,353
DB00132,3992
DB00132,9415
DB00132,6546
DB00132,7442
DB00132,6785
DB00132,5465
DB00132,9971
DB00132,5467
DB00132,5468
DB00132,6256
DB00132,2173
DB00134,2752
DB00134,4548
DB00134,4552
DB00134,4524
DB00134,4144
DB00134,4143
DB00134,117247
DB00134,10988
DB00134,635
DB00134,23743
DB00134,22921
DB00134,51734
DB00134,4482
DB00134,92935
DB00134,27430
DB00135,6898
DB00135,6567
DB00135,117247
DB00135,7054
DB00135,51067
DB00136,1576
DB00136,7421
DB00136,3206
DB00136,1591
DB00136,2638
DB00137,213
DB00138,117247
DB00138,23657
DB00138,1497
DB00138,11136
DB00138,6519
DB00139,8985
DB00139,8424
DB00139,5033
DB00139,64175
DB00139,55214
DB00139,10536
DB00139,5351
DB00139,55217
DB00139,444
DB00139,6391
DB00139,56670
DB00139,64064
DB00139,8803
DB00139,1468
DB00139,6389
DB00139,8630
DB00139,64849
DB00139,9058
DB00139,8801
DB00139,6392
DB00139,8974
DB00139,6390
DB00139,7915
DB00139,8802
DB00139,5019
DB00139,9376
DB00140,9356
DB00140,4524
DB00140,55312
DB00140,645
DB00140,4128
DB00141,8703
DB00141,8702
DB00141,8704
DB00141,55577
DB00141,51172
DB00141,4669
DB00141,5973
DB00141,2683
DB00142,2677
DB00142,2752
DB00142,2346
DB00142,2571
DB00142,2805
DB00142,51166
DB00142,18
DB00142,6898
DB00142,2875
DB00142,29968
DB00142,586
DB00142,587
DB00142,10841
DB00142,2806
DB00142,2572
DB00142,84706
DB00142,6566
DB00142,117247
DB00142,440
DB00142,6505
DB00142,2744
DB00142,27165
DB00142,8833
DB00142,5198
DB00142,5188
DB00142,55191
DB00142,23657
DB00142,2911
DB00142,2914
DB00142,2900
DB00142,2901
DB00142,2917
DB00142,2918
DB00142,6512
DB00142,26873
DB00142,2906
DB00142,2895
DB00142,116444
DB00142,6507
DB00142,6506
DB00142,2729
DB00142,6511
DB00142,2747
DB00142,2902
DB00142,2356
DB00142,2028
DB00142,2903
DB00142,2904
DB00142,2905
DB00142,124454
DB00142,162417
DB00142,116443
DB00142,83733
DB00142,79751
DB00142,10157
DB00142,23549
DB00142,2894
DB00142,10404
DB00142,2746
DB00142,2897
DB00142,2890
DB00142,2730
DB00142,2891
DB00142,2892
DB00142,2893
DB00142,5832
DB00142,2898
DB00142,2899
DB00143,1576
DB00143,1244
DB00143,8714
DB00143,4363
DB00143,4259
DB00143,27306
DB00143,51060
DB00143,2938
DB00143,2939
DB00143,4257
DB00143,2098
DB00143,2678
DB00143,2946
DB00143,2745
DB00143,2879
DB00143,2949
DB00143,3029
DB00143,2876
DB00143,493869
DB00143,2882
DB00143,4258
DB00143,119391
DB00143,51022
DB00143,2739
DB00143,4056
DB00143,2936
DB00143,2937
DB00143,2944
DB00143,373156
DB00143,2940
DB00143,2947
DB00143,2941
DB00143,2948
DB00143,221357
DB00143,2950
DB00143,9446
DB00143,2877
DB00143,2952
DB00143,2954
DB00143,2880
DB00143,2878
DB00143,231
DB00143,4318
DB00143,10257
DB00143,10057
DB00144,1608
DB00144,8527
DB00144,81490
DB00144,55627
DB00144,55512
DB00144,10396
DB00144,5578
DB00144,9791
DB00144,23761
DB00144,949
DB00145,64902
DB00145,6470
DB00145,23464
DB00145,2731
DB00145,211
DB00145,189
DB00145,6472
DB00145,212
DB00145,27232
DB00145,117247
DB00145,2628
DB00145,116444
DB00145,2903
DB00145,2905
DB00145,2937
DB00145,2653
DB00145,570
DB00145,2841
DB00145,10249
DB00145,206358
DB00145,140679
DB00145,51268
DB00145,9152
DB00145,6536
DB00145,2741
DB00145,2743
DB00145,8001
DB00145,2742
DB00146,7421
DB00146,1591
DB00146,1594
DB00148,6584
DB00148,1158
DB00148,548596
DB00148,1152
DB00148,1160
DB00148,6535
DB00148,2593
DB00150,1644
DB00150,6567
DB00150,117247
DB00150,10352
DB00150,6999
DB00150,7166
DB00150,121278
DB00150,3620
DB00151,875
DB00151,9054
DB00151,2805
DB00151,51380
DB00151,1491
DB00151,117247
DB00151,2729
DB00151,2730
DB00151,2937
DB00151,4255
DB00151,80704
DB00151,79587
DB00151,1036
DB00152,6582
DB00152,6580
DB00152,6584
DB00152,27010
DB00152,10560
DB00152,1580
DB00153,1593
DB00153,7421
DB00153,1591
DB00153,2638
DB00153,1594
DB00153,786
DB00153,120227
DB00153,1583
DB00155,9356
DB00155,445
DB00155,5009
DB00155,23564
DB00155,23576
DB00155,4842
DB00155,4843
DB00155,4846
DB00155,353238
DB00155,29943
DB00155,51702
DB00155,11240
DB00155,23569
DB00156,79896
DB00156,117247
DB00156,80222
DB00157,7498
DB00157,1579
DB00157,5162
DB00157,7915
DB00157,645
DB00157,2747
DB00157,10157
DB00157,2746
DB00157,2936
DB00157,231
DB00157,1036
DB00157,7358
DB00157,124
DB00157,6652
DB00157,127
DB00157,126
DB00157,125
DB00157,131
DB00157,2819
DB00157,160287
DB00157,128
DB00157,3028
DB00157,4191
DB00157,3939
DB00157,4200
DB00157,3295
DB00157,92483
DB00157,3948
DB00157,3945
DB00157,1962
DB00157,3033
DB00157,10873
DB00157,622
DB00157,4190
DB00157,11112
DB00157,3293
DB00157,3156
DB00157,4199
DB00157,26227
DB00157,51478
DB00157,3421
DB00157,3420
DB00157,3419
DB00157,3292
DB00157,3294
DB00157,5959
DB00157,9563
DB00157,7923
DB00157,1109
DB00157,3615
DB00157,8644
DB00157,3248
DB00157,7264
DB00157,1645
DB00157,3290
DB00157,3284
DB00157,3283
DB00157,3614
DB00157,3030
DB00157,217
DB00157,3291
DB00157,1646
DB00157,50814
DB00157,222
DB00157,4329
DB00157,218
DB00157,216
DB00157,26330
DB00157,223
DB00157,220
DB00157,219
DB00157,221
DB00157,2597
DB00157,8854
DB00157,224
DB00157,501
DB00157,29920
DB00157,5831
DB00157,5161
DB00157,5160
DB00157,644
DB00157,35
DB00157,1719
DB00157,4967
DB00157,1717
DB00157,4835
DB00157,374291
DB00157,4522
DB00157,10797
DB00157,8659
DB00157,1727
DB00157,126328
DB00157,5860
DB00157,23530
DB00157,4698
DB00157,4704
DB00157,4705
DB00157,4701
DB00157,4694
DB00157,4697
DB00157,4700
DB00157,4706
DB00157,4695
DB00157,4702
DB00157,4696
DB00157,4714
DB00157,4718
DB00157,4707
DB00157,4719
DB00157,4716
DB00157,4710
DB00157,4709
DB00157,4708
DB00157,4713
DB00157,4715
DB00157,4720
DB00157,4711
DB00157,4717
DB00157,4712
DB00157,4731
DB00157,1738
DB00157,4722
DB00157,55967
DB00157,4725
DB00157,4724
DB00157,4723
DB00157,4729
DB00157,51079
DB00157,4726
DB00157,56901
DB00157,4728
DB00157,1737
DB00157,275
DB00157,6307
DB00157,3162
DB00157,3163
DB00157,1586
DB00157,7299
DB00157,316
DB00157,130
DB00157,10327
DB00158,8714
DB00158,9356
DB00158,9429
DB00158,4524
DB00158,10257
DB00158,1719
DB00158,2352
DB00158,2350
DB00158,2348
DB00158,8836
DB00158,85320
DB00158,113235
DB00158,81034
DB00159,5742
DB00159,5743
DB00159,213
DB00159,3992
DB00159,6546
DB00159,7442
DB00159,5465
DB00159,5467
DB00159,5468
DB00159,2173
DB00159,2182
DB00159,2181
DB00159,2864
DB00161,586
DB00161,117247
DB00161,5096
DB00162,213
DB00162,27306
DB00162,5959
DB00162,216
DB00162,220
DB00162,8854
DB00162,145226
DB00162,9249
DB00162,54884
DB00162,51109
DB00162,10901
DB00162,57665
DB00162,9227
DB00162,5947
DB00162,112724
DB00162,5949
DB00162,6017
DB00162,347
DB00162,1543
DB00162,1592
DB00162,83758
DB00162,116362
DB00162,5950
DB00162,5948
DB00163,1576
DB00163,2729
DB00163,2939
DB00163,2947
DB00163,2950
DB00163,9446
DB00163,5578
DB00163,949
DB00163,3162
DB00163,8856
DB00163,5579
DB00163,240
DB00163,1606
DB00163,5516
DB00163,5515
DB00163,284904
DB00163,266629
DB00163,23541
DB00163,1728
DB00163,6647
DB00163,19
DB00163,29881
DB00163,9619
DB00163,7274
DB00165,1543
DB00165,8566
DB00166,8884
DB00166,51601
DB00166,11019
DB00166,5447
DB00169,1576
DB00169,1565
DB00169,1593
DB00169,1558
DB00169,7421
DB00169,2638
DB00169,120227
DB00169,1583
DB00169,1543
DB00169,1573
DB00169,1555
DB00170,2147
DB00170,1544
DB00170,2159
DB00170,2158
DB00170,5624
DB00170,2677
DB00170,2155
DB00170,7498
DB00170,1571
DB00170,5627
DB00170,4524
DB00170,4835
DB00170,316
DB00170,1543
DB00170,1728
DB00170,79001
DB00170,154807
DB00170,8858
DB00170,632
DB00170,1548
DB00173,32
DB00173,353
DB00173,52
DB00173,55825
DB00173,6733
DB00173,4507
DB00173,54658
DB00174,117247
DB00174,440
DB00174,80150
DB00174,10991
DB00174,6510
DB00174,79731
DB00175,5243
DB00175,1244
DB00175,8647
DB00175,6579
DB00175,9356
DB00175,9429
DB00175,10599
DB00175,6566
DB00175,9376
DB00175,3156
DB00175,11309
DB00175,55867
DB00175,10864
DB00176,1576
DB00176,1544
DB00176,1565
DB00176,1559
DB00176,5243
DB00176,1571
DB00176,1557
DB00176,1551
DB00176,1577
DB00176,1558
DB00176,8647
DB00176,1543
DB00176,1555
DB00176,6532
DB00176,3757
DB00177,1559
DB00177,1244
DB00177,10599
DB00177,185
DB00178,590
DB00178,1636
DB00178,623
DB00178,6564
DB00178,6565
DB00179,240
DB00179,1573
DB00179,6462
DB00180,1576
DB00180,2908
DB00180,866
DB00181,2550
DB00181,9568
DB00182,1565
DB00182,6581
DB00182,6584
DB00182,4128
DB00182,1548
DB00182,6532
DB00182,6571
DB00182,6531
DB00182,9607
DB00182,134864
DB00182,6530
DB00182,148
DB00182,153
DB00182,1813
DB00182,4129
DB00183,590
DB00183,887
DB00184,1576
DB00184,1544
DB00184,1565
DB00184,1559
DB00184,1571
DB00184,1588
DB00184,1557
DB00184,1558
DB00184,1139
DB00184,1103
DB00184,6582
DB00184,6580
DB00184,6581
DB00184,6584
DB00184,6583
DB00184,4128
DB00184,1543
DB00184,1555
DB00184,1548
DB00184,4129
DB00184,1137
DB00184,1141
DB00184,1135
DB00184,1136
DB00184,1138
DB00184,8973
DB00184,55584
DB00184,1142
DB00184,1143
DB00184,1553
DB00185,1576
DB00185,1565
DB00185,1131
DB00185,1128
DB00185,2326
DB00186,1576
DB00186,2554
DB00186,706
DB00186,7366
DB00187,1565
DB00187,153
DB00188,1576
DB00188,1544
DB00188,1565
DB00188,1559
DB00188,1557
DB00188,5693
DB00188,5689
DB00189,2554
DB00190,1644
DB00191,1576
DB00191,4128
DB00191,6532
DB00191,6531
DB00191,6530
DB00191,4129
DB00191,4852
DB00192,6331
DB00193,1576
DB00193,1565
DB00193,5243
DB00193,1139
DB00193,116443
DB00193,1555
DB00193,54658
DB00193,6532
DB00193,6530
DB00193,1131
DB00193,1128
DB00193,4988
DB00193,3358
DB00193,4986
DB00193,4985
DB00194,100
DB00195,1544
DB00195,1565
DB00195,153
DB00195,154
DB00196,1576
DB00196,1559
DB00196,5243
DB00196,1557
DB00197,1576
DB00197,5054
DB00197,1559
DB00197,1588
DB00197,1557
DB00197,1551
DB00197,1577
DB00197,1558
DB00197,8647
DB00197,10599
DB00197,5465
DB00197,5467
DB00197,5468
DB00197,2950
DB00197,2182
DB00197,1543
DB00197,1555
DB00197,54658
DB00197,7366
DB00197,2030
DB00197,2104
DB00197,2101
DB00197,54659
DB00197,54657
DB00197,54578
DB00197,54577
DB00197,54576
DB00197,54600
DB00197,54575
DB00197,7364
DB00198,9376
DB00198,10257
DB00198,6564
DB00198,1066
DB00198,4758
DB00198,4759
DB00199,1576
DB00199,5243
DB00199,1244
DB00199,1551
DB00199,1577
DB00199,8647
DB00199,6579
DB00199,10599
DB00199,3757
DB00199,2862
DB00200,4548
DB00200,4552
DB00200,166785
DB00200,25974
DB00200,326625
DB00200,81693
DB00200,6947
DB00200,6948
DB00200,8029
DB00201,1576
DB00201,1544
DB00201,1565
DB00201,1559
DB00201,5243
DB00201,1571
DB00201,1551
DB00201,1577
DB00201,1558
DB00201,1545
DB00201,5142
DB00201,1543
DB00201,134
DB00201,135
DB00201,6261
DB00201,5136
DB00201,5591
DB00201,5293
DB00201,5290
DB00201,5291
DB00201,3708
DB00201,472
DB00202,590
DB00202,1139
DB00202,1131
DB00202,1128
DB00202,1129
DB00203,1576
DB00203,1565
DB00203,1559
DB00203,5243
DB00203,1571
DB00203,1557
DB00203,1551
DB00203,1577
DB00203,89845
DB00203,10599
DB00203,10257
DB00203,10057
DB00203,1543
DB00203,8654
DB00203,5148
DB00203,5149
DB00204,1576
DB00204,6582
DB00204,3757
DB00204,3776
DB00204,3768
DB00205,1558
DB00205,1719
DB00205,3074
DB00205,55244
DB00205,146802
DB00206,5243
DB00206,1244
DB00206,1577
DB00206,8647
DB00206,10599
DB00206,6582
DB00206,6580
DB00206,11309
DB00206,6571
DB00206,6570
DB00206,332
DB00207,1576
DB00207,5243
DB00207,1244
DB00207,23569
DB00208,4353
DB00208,1576
DB00208,1544
DB00208,1565
DB00208,1559
DB00208,1571
DB00208,1557
DB00208,1558
DB00208,1543
DB00208,1555
DB00208,64805
DB00209,1565
DB00209,1128
DB00210,5743
DB00210,6256
DB00210,5916
DB00210,5915
DB00210,6258
DB00210,6257
DB00210,5914
DB00211,1565
DB00211,6564
DB00211,148
DB00211,147
DB00211,146
DB00213,1576
DB00213,5243
DB00213,1557
DB00213,9429
DB00213,9376
DB00213,23576
DB00213,495
DB00214,1559
DB00214,213
DB00214,1558
DB00214,10599
DB00214,6557
DB00214,6558
DB00215,1576
DB00215,1544
DB00215,1565
DB00215,5243
DB00215,1557
DB00215,6532
DB00215,3269
DB00216,1576
DB00216,1565
DB00216,1559
DB00216,5243
DB00216,5742
DB00216,1557
DB00216,1548
DB00216,3352
DB00216,3351
DB00216,3350
DB00216,3354
DB00216,3357
DB00216,3363
DB00217,153
DB00217,150
DB00217,3758
DB00218,1544
DB00218,7153
DB00219,1128
DB00220,1576
DB00220,1565
DB00220,1559
DB00220,5243
DB00220,213
DB00220,1557
DB00220,1551
DB00220,1577
DB00220,8647
DB00220,6579
DB00220,9429
DB00220,10599
DB00220,6580
DB00220,1555
DB00220,54658
DB00220,11309
DB00221,153
DB00221,154
DB00222,1559
DB00222,8647
DB00222,3758
DB00222,3767
DB00222,6833
DB00223,2908
DB00224,1576
DB00224,1565
DB00224,5243
DB00224,1244
DB00224,1551
DB00224,1577
DB00224,8647
DB00224,6579
DB00224,10599
DB00224,4363
DB00224,6580
DB00224,54658
DB00224,11309
DB00226,6530
DB00227,1576
DB00227,1565
DB00227,1559
DB00227,5243
DB00227,1244
DB00227,213
DB00227,1551
DB00227,1577
DB00227,1558
DB00227,8647
DB00227,6579
DB00227,10599
DB00227,3683
DB00227,3156
DB00227,54658
DB00227,54659
DB00227,7364
DB00227,3066
DB00227,5446
DB00228,1571
DB00228,213
DB00228,2890
DB00228,2741
DB00228,2554
DB00228,3783
DB00228,3736
DB00228,27032
DB00229,9356
DB00229,9376
DB00230,6505
DB00230,781
DB00230,8140
DB00231,1576
DB00231,1559
DB00231,1557
DB00231,1558
DB00231,1555
DB00231,2554
DB00231,706
DB00231,2555
DB00231,2556
DB00231,2557
DB00231,2558
DB00231,2559
DB00231,2560
DB00231,2561
DB00231,2562
DB00231,2565
DB00231,2566
DB00231,2563
DB00231,2564
DB00231,2569
DB00231,2570
DB00231,200959
DB00231,55879
DB00232,6557
DB00232,759
DB00232,760
DB00232,762
DB00233,4353
DB00233,5743
DB00233,240
DB00233,1147
DB00233,30814
DB00234,1576
DB00234,1565
DB00234,5243
DB00234,6530
DB00235,5139
DB00237,1139
DB00237,2891
DB00237,2898
DB00237,1137
DB00237,2554
DB00238,1576
DB00238,1544
DB00238,1565
DB00238,1559
DB00238,213
DB00238,1577
DB00238,6580
DB00238,1555
DB00238,1548
DB00239,1576
DB00239,1557
DB00239,8856
DB00240,1576
DB00240,2908
DB00240,866
DB00241,1139
DB00241,2891
DB00241,2898
DB00241,1137
DB00241,2554
DB00241,2555
DB00241,2556
DB00241,2557
DB00241,2558
DB00241,2559
DB00242,9429
DB00242,6240
DB00242,6241
DB00242,50484
DB00242,5422
DB00242,5426
DB00242,5427
DB00242,54107
DB00242,56655
DB00242,4860
DB00242,1633
DB00243,1576
DB00243,1565
DB00243,5243
DB00243,213
DB00243,8647
DB00243,148
DB00243,153
DB00243,775
DB00243,5004
DB00244,4353
DB00244,5742
DB00244,5743
DB00244,5468
DB00244,240
DB00244,1147
DB00244,3551
DB00244,9
DB00245,1565
DB00245,213
DB00245,1557
DB00245,6532
DB00245,6531
DB00245,6530
DB00245,1128
DB00245,3269
DB00246,1576
DB00246,316
DB00246,148
DB00246,1813
DB00246,1131
DB00246,1128
DB00246,3358
DB00246,1129
DB00246,147
DB00246,3269
DB00246,3352
DB00246,3351
DB00246,3350
DB00246,3354
DB00246,3363
DB00246,150
DB00246,1812
DB00246,1816
DB00246,3356
DB00246,1814
